Data info
File name: C:\DEWESoft7\Data\Test_kastor_choco_2.d7d
Start time: 20/01/1980 07:28:21.614
Number of channels: 3
Sample rate: 5000
Store type: Toujours rapide


Data1

Time [s]	AI 0 [V]	AI 1 [V]	AI 2 [V]	
0,07	0,92605686	1,5823443	1,6247702
0,0702	0,92612481	1,5827258	1,6242635
0,0704	0,92619634	1,5833325	1,6238606
0,0706	0,92620111	1,5840216	1,6234684
0,0708	0,92623091	1,5845485	1,6230428
0,071	0,92614627	1,585073	1,6225743
0,0712	0,92594838	1,5856678	1,6221428
0,0714	0,92649674	1,5861351	1,6218913
0,0716	0,92721915	1,5861661	1,6216338
0,0718	0,92779255	1,5861077	1,6212857
0,072	0,92838502	1,5861387	1,6210473
0,0722	0,92878675	1,5861065	1,620785
0,0724	0,92913127	1,5860386	1,6203797
0,0726	0,92961764	1,5860434	1,6200292
0,0728	0,93003249	1,5860779	1,6196704
0,073	0,93025303	1,5859993	1,6192114
0,0732	0,93017793	1,5859098	1,6187966
0,0734	0,9298203	1,5857155	1,618551
0,0736	0,92949128	1,58552	1,618731
0,0738	0,9291265	1,5854127	1,6190112
0,074	0,92817521	1,5854867	1,6189563
0,0742	0,9271965	1,5862067	1,6189325
0,0744	0,92636561	1,5866466	1,619097
0,0746	0,92566347	1,5870256	1,6195893
0,0748	0,92511511	1,5873928	1,6202223
0,075	0,92460489	1,5874834	1,6208434
0,0752	0,92423296	1,5874023	1,621536
0,0754	0,92379427	1,5873225	1,6221464
0,0756	0,92365956	1,5872855	1,6227674
0,0758	0,92347002	1,5874405	1,6233492
0,076	0,92330551	1,5875168	1,6238737
0,0762	0,92305279	1,5878303	1,6244626
0,0764	0,92296457	1,5878601	1,6249585
0,0766	0,92341995	1,5878398	1,625452
0,0768	0,92394924	1,5872462	1,6259706
0,077	0,92425323	1,5868206	1,6263914
0,0772	0,92448568	1,5865119	1,6268754
0,0774	0,92443562	1,586277	1,6273427
0,0776	0,92450833	1,5858824	1,6278672
0,0778	0,92496848	1,5854163	1,6282415
0,078	0,92539048	1,5849264	1,628567
0,0782	0,92603779	1,5844781	1,6284263
0,0784	0,92663383	1,5837939	1,6279745
0,0786	0,92717147	1,5831776	1,6274357
0,0788	0,92776155	1,5828032	1,6271758
0,079	0,92811203	1,5822322	1,6269553
0,0792	0,92792726	1,5820224	1,6269827
0,0794	0,92753625	1,582026	1,6268408
0,0796	0,92740035	1,5819426	1,6267896
0,0798	0,92743254	1,5818496	1,626662
0,08	0,92735744	1,5816433	1,6267025
0,0802	0,92738843	1,5814729	1,6263878
0,0804	0,92719293	1,5813119	1,6258562
0,0806	0,92708921	1,5814848	1,6251218
0,0808	0,92703438	1,5818961	1,6243577
0,081	0,92697001	1,5824909	1,623559
0,0812	0,92687583	1,5830798	1,6228271
0,0814	0,92670536	1,58377	1,6221702
0,0816	0,92687583	1,5841742	1,6214895
0,0818	0,92772102	1,5841849	1,620841
0,082	0,92832899	1,5839798	1,6200924
0,0822	0,9290657	1,5840263	1,6195142
0,0824	0,9294126	1,5840704	1,6190195
0,0826	0,92922783	1,5841455	1,6185415
0,0828	0,92895722	1,5841742	1,6183567
